"monetary","total","persentase"
"1348.56","1","0.04"
"1351.13","1","0.04"
"1357.55","1","0.04"
"1359.33","1","0.04"
"1366.97","1","0.04"
"1367.34","1","0.04"
"1368.97","1","0.04"
"1373.77","1","0.04"
"1375.52","1","0.04"
"1377.57","1","0.04"
"1377.66","1","0.04"
"1377.69","1","0.04"
"1379.36","1","0.04"
"1381.08","1","0.04"
"1381.73","1","0.04"
"1382.53","1","0.04"
"1385.93","1","0.04"
"1389.12","1","0.04"
"1389.32","1","0.04"
"1389.37","1","0.04"
"1390.25","1","0.04"
"1390.28","1","0.04"
"1393.24","1","0.04"
"1394.11","1","0.04"
"1396.45","1","0.04"
"1396.93","1","0.04"
"1399.89","1","0.04"
"1400.11","1","0.04"
"1404.36","1","0.04"
"1409.87","1","0.04"
"1411.25","1","0.04"
"1412.64","1","0.04"
"1413.52","1","0.04"
"1413.68","1","0.04"
"1415.38","1","0.04"
"1415.59","1","0.04"
"1415.65","1","0.04"
"1418.76","1","0.04"
"1419.88","1","0.04"
"1420.41","1","0.04"
"1425.40","1","0.04"
"1428.67","1","0.04"
"1428.90","1","0.04"
"1435.17","1","0.04"
"1439.19","1","0.04"
"1439.61","1","0.04"
"1446.23","1","0.04"
"1446.54","1","0.04"
"1449.58","1","0.04"
"1450.68","1","0.04"
"1452.29","1","0.04"
"1454.28","1","0.04"
"1455.43","1","0.04"
"1459.68","1","0.04"
"1460.12","1","0.04"
"1461.40","1","0.04"
"1461.82","1","0.04"
"1463.32","1","0.04"
"1469.02","1","0.04"
"1469.45","1","0.04"
"1470.49","1","0.04"
"1471.28","1","0.04"
"1473.27","1","0.04"
"1476.22","1","0.04"
"1482.54","1","0.04"
"1485.44","1","0.04"
"1487.21","1","0.04"
"1487.37","1","0.04"
"1487.99","1","0.04"
"1489.80","1","0.04"
"1489.89","1","0.04"
"1491.00","1","0.04"
"1492.81","1","0.04"
"1494.22","1","0.04"
"1495.08","1","0.04"
"1495.76","1","0.04"
"1497.56","1","0.04"
"1499.37","1","0.04"
"1502.20","1","0.04"
"1505.67","1","0.04"
"1506.50","1","0.04"
"1506.88","1","0.04"
"1508.04","1","0.04"
"1509.41","1","0.04"
"1510.63","1","0.04"
"1512.02","1","0.04"
"1512.08","1","0.04"
"1515.65","1","0.04"
"1517.18","1","0.04"
"1522.47","1","0.04"
"1523.80","1","0.04"
"1524.33","1","0.04"
"1525.02","1","0.04"
"1530.12","1","0.04"
"1530.44","1","0.04"
"1530.52","1","0.04"
"1530.88","1","0.04"
"1532.65","1","0.04"
"1535.13","1","0.04"
"1536.09","1","0.04"
"1538.01","1","0.04"
"1538.46","1","0.04"
"1540.45","1","0.04"
"1540.47","1","0.04"
"1543.63","1","0.04"
"1546.05","1","0.04"
"1551.2700000000000004440892","1","0.04"
"1552.43","1","0.04"
"1553.45","1","0.04"
"1553.53","1","0.04"
"1553.56","1","0.04"
"1555.15","1","0.04"
"1555.70","1","0.04"
"1556.84","1","0.04"
"1557.05","1","0.04"
"1557.13","1","0.04"
"1558.65","1","0.04"
"1560.67","1","0.04"
"1563.53","1","0.04"
"1564.35","1","0.04"
"1564.67","1","0.04"
"1565.89","1","0.04"
"1567.81","1","0.04"
"1567.89","1","0.04"
"1571.37","1","0.04"
"1572.61","1","0.04"
"1574.94","1","0.04"
"1586.58","2","0.08"
"1587.38","1","0.04"
"1591.78","1","0.04"
"1593.51","1","0.04"
"1594.8500000000000002220446","1","0.04"
"1594.87","1","0.04"
"1596.48","1","0.04"
"1599.08","1","0.04"
"1600.80","1","0.04"
"1600.99","1","0.04"
"1601.27","1","0.04"
"1602.00","1","0.04"
"1602.32","1","0.04"
"1605.98","1","0.04"
"1606.69","1","0.04"
"1615.94","1","0.04"
"1619.45","1","0.04"
"1634.22","1","0.04"
"1635.21","1","0.04"
"1637.41","1","0.04"
"1640.79","1","0.04"
"1642.49","1","0.04"
"1643.20","1","0.04"
"1645.25","1","0.04"
"1646.00","1","0.04"
"1647.20","1","0.04"
"1647.36","1","0.04"
"1650.64","1","0.04"
"1652.07","1","0.04"
"1657.11","1","0.04"
"1658.96","1","0.04"
"1665.51","1","0.04"
"1665.89","1","0.04"
"1668.30","1","0.04"
"1668.92","1","0.04"
"1669.89","1","0.04"
"1670.44","1","0.04"
"1670.82","1","0.04"
"1672.66","1","0.04"
"1674.23","1","0.04"
"1676.34","1","0.04"
"1676.76","1","0.04"
"1678.80","1","0.04"
"1679.38","1","0.04"
"1683.55","1","0.04"
"1685.64","1","0.04"
"1688.33","1","0.04"
"1688.90","1","0.04"
"1689.84","1","0.04"
"1691.72","1","0.04"
"1692.54","1","0.04"
"1694.32","1","0.04"
"1695.76","1","0.04"
"1696.61","1","0.04"
"1697.23","1","0.04"
"1698.95","1","0.04"
"1703.02","1","0.04"
"1704.27","1","0.04"
"1714.61","1","0.04"
"1716.05","1","0.04"
"1718.08","1","0.04"
"1720.64","1","0.04"
"1724.59","1","0.04"
"1727.97","1","0.04"
"1728.53","1","0.04"
"1732.97","1","0.04"
"1733.81","1","0.04"
"1737.84","1","0.04"
"1742.85","1","0.04"
"1743.69","1","0.04"
"1743.97","1","0.04"
"1752.50","1","0.04"
"1753.90","1","0.04"
"1755.30","1","0.04"
"1756.64","1","0.04"
"1757.51","1","0.04"
"1757.90","1","0.04"
"1764.07","1","0.04"
"1764.15","1","0.04"
"1764.76","1","0.04"
"1770.87","1","0.04"
"1770.91","1","0.04"
"1771.02","1","0.04"
"1772.91","1","0.04"
"1773.30","1","0.04"
"1776.65","1","0.04"
"1778.52","1","0.04"
"1778.67","1","0.04"
"1779.86","1","0.04"
"1783.07","1","0.04"
"1783.9800000000000008881784","1","0.04"
"1784.19","1","0.04"
"1785.46","1","0.04"
"1787.48","1","0.04"
"1789.10","1","0.04"
"1790.73","1","0.04"
"1791.28","1","0.04"
"1797.53","1","0.04"
"1800.09","1","0.04"
"1802.37","1","0.04"
"1802.93","1","0.04"
"1803.80","1","0.04"
"1805.63","1","0.04"
"1805.93","1","0.04"
"1806.02","1","0.04"
"1807.16","1","0.04"
"1816.62","1","0.04"
"1817.22","1","0.04"
"1821.03","1","0.04"
"1824.33","1","0.04"
"1826.73","1","0.04"
"1827.87","1","0.04"
"1828.64","1","0.04"
"1830.63","1","0.04"
"1830.83","1","0.04"
"1830.99","1","0.04"
"1831.14","1","0.04"
"1831.84","1","0.04"
"1832.03","1","0.04"
"1834.06","1","0.04"
"1834.08","1","0.04"
"1835.18","1","0.04"
"1845.46","1","0.04"
"1847.62","1","0.04"
"1848.52","1","0.04"
"1849.20","1","0.04"
"1850.07","1","0.04"
"1868.45","1","0.04"
"1869.79","1","0.04"
"1871.22","1","0.04"
"1872.52","1","0.04"
"1877.71","1","0.04"
"1878.48","1","0.04"
"1881.76","1","0.04"
"1882.81","1","0.04"
"1884.05","1","0.04"
"1885.95","1","0.04"
"1887.73","1","0.04"
"1888.13","1","0.04"
